ticker,title,plain,boosted
GE,3 Reasons Why GE Stock Could Rally Another 20% in 2020,0.0,0.459
NKE,"After an Epic 2019 Rally, I've Got Nike Stock on Hold -- for the Moment",0.0,0.459
V,Does Visa Deserve Its Bullish Valuation?,0.0,0.542
DIS,Dow Jones Futures: Can Stock Market Rally Hold In Bullish Channel As Iran Exits Nuclear Deal? 7 Stocks Near Buy Points,0.0,0.758
T,AT&T's New Network Could Make This Stock Soar,0.0,0.612
O,"Raymond James Upgrades Realty Income to Outperform, Announces $79 Price Target",0.0,0.459
BA,Cowen’s Bullish Stance on Boeing (BA) Stock Comes to an End,0.0,0.542
AMGN,"BMO Capital Maintains Outperform on Amgen, Raises Price Target to $275",0.0,0.459
INTC,AMD Continues March Higher As Mizuho Joins Bullish Peers With Upgrade,0.0,0.758
SBUX,Option Traders Make Big Bets Luckin Coffee Rally Isn't Over,0.0,0.459
WFC,"Weekly Market Preview: Stocks At Record Highs Ahead of Q4 Earnings (BAC, C, JPM, WFC)",0.0,0.361
NKE,The Rally in Microsoft Stock Will Slow — But Should Continue,0.0,0.25
SBUX,The Rally in Microsoft Stock Will Slow — But Should Continue,0.0,0.25
USB,"First Republic (FRC) Q4 Earnings Beat Estimates, Costs Rise",0.0,0.459
COP,"Baird Initiates Coverage On ConocoPhillips with Outperform Rating, Announces $72 Price Target",0.0,0.459
GS,Goldman Sachs' Revenue Soars 23% -- Here's Why,0.0,0.612
SLB,Schlumberger Earnings Preview: Schlumberger Likely To Beat 2019 Earnings Expectations Despite Shale Slowdown,0.0,0.459
USB,US Bancorp Q4 EPS $1.15 Beats $1.08 Estimate,0.0,0.459
INTC,"Stock Market Surges To New Highs, Led By Small Caps; Tesla Stock Recovers After Downgrade",0.0,-0.459
MS,Morgan Stanley Q4 adjusted earnings Beat Estimates,0.0,0.459
MS,Morgan Stanley Trades Higher On Q4 Earnings Beat,0.0,0.459
MS,Mid-Morning Market Update: Markets Open Higher; Morgan Stanley Beats Q4 Estimates,0.0,0.459
MS,"Morgan Stanley Q4 Adj. EPS $1.2 Beats $0.99 Estimate, Sales $10.857B Beat $9.78B Estimate",0.0,0.718
ADBE,"Oppenheimer Upgrades Adobe to Outperform, Announces $410 Price Target",0.0,0.459
MS,These 5 Tech Stocks Are Driving The Market to Record Highs,0.0,0.361
NKE,These 5 Tech Stocks Are Driving The Market to Record Highs,0.0,0.361
SLB,Schlumberger Ltd. Q4 adjusted earnings Beat Estimates,0.0,0.459
SLB,"Schlumberger Q4 EPS $0.39 Beats $0.37 Estimate, Sales $8.2B Beat $8.15B Estimate",0.0,0.718
SLB,Mid-Afternoon Market Update: Dow Edges Lower; Aethlon Medical Shares Plunge,0.0,-0.612
AMGN,Evercore ISI Group Upgrades Amgen to Outperform,0.0,0.459
CAT,"Daiwa Capital Upgrades Caterpillar to Outperform, Raises Price Target to $165",0.0,0.459
CVX,Validea Kenneth Fisher Strategy Daily Upgrade Report - 1/18/2020,0.0,0.459
DIS,Netflix Just Beat Every Other Studio With 24 Oscar Nominations,0.0,0.459
DIS,"Dow Jones Futures: Stock Market Rally Faces Next Test; Netflix, Texas Instruments Earnings Due",0.0,0.459
INTC,"Stock Market Slips From Record Highs On China Virus; Intel, Roku, Tesla Are Key Movers",0.0,0.361
MS,Morgan Stanley shares are trading lower after Citigroup downgraded the stock from Buy to Neutral.,0.0,-0.459
CVX,Validea Peter Lynch Strategy Daily Upgrade Report - 1/22/2020,0.0,0.459
NKE,Beyoncé Collaboration Could Catalyze The Big Rally in Adidas Stock,0.0,0.459
OXY,Rally Pauses as Coronavirus Spreads to U.S.,0.0,0.459
PLD,ProLogis Q4 adjusted earnings Beat Estimates,0.0,0.459
BA,Can Alaska Air Soar Another 684% This Decade?,0.0,0.612
CMCSA,Comcast Trades Higher On Q4 Earnings Beat,0.0,0.459
CMCSA,"Comcast Q4 Adj. EPS $0.79 Beats $0.76 Estimate, Sales $28.398B Beat $28.17B Estimate",0.0,0.718
CMCSA,Comcast Corp. Q4 adjusted earnings Beat Estimates,0.0,0.459
INTC,"Intel, Intuitive, Skyworks All Beat Earnings",0.0,0.459
INTC,Trade of the Day: Fading the Rally in Intel Stock,0.0,0.459
INTC,Intel Corporation Q4 adjusted earnings Beat Estimates,0.0,0.459
BA,Stock Market Today: Rally Over?; Apple TV+ Count ,0.0,0.459
INTC,"Dow Jones Today Gets Intel, AmEx Lift; Futures Rise As Chips Rally; Broadcom Deepens Apple Ties",0.0,0.459
INTC,INTC: Will Intel Stock Continue To Rally?,0.0,0.459
